# 01 ==========================================================================================;;;;;;
# 02 tracciato record: ( separatore tra campi ==> ; ) non sono ammessi caratteri spazio nei campi);;;;;
# 03 ==========================================================================================;;;;;;
# 04 DB; type ; Application ; Connection ; Database ; Owner ; Table 
# 05 ==========================================================================================;;;;;;
# 06 DB          = Valore fisso che identifica la riga dati, a partire dal primo carattere;;;;;;
# 07 type        = [sql] oppure [ora] per individuare la tipologia di database;;;;;;
# 08 Application = Codice applicazione;;;;;;
# 09 Connection  = Connessione al database;;;;;;
# 10 Database    = Nome database;;;;;;
# 11 Owner       = Nome schema;;;;;;
# 12 Table       = Nome tabella;;;;;;
# 13 ==========================================================================================;;;;;;
DB; type ; Application ; Connection ; Database ; Owner ; Table 
DB ; sql ; CONTROLLI_A_DISTANZA ; IN01CC2C-7\CAD99C1S,1453 ; CAD_MODELLO ; dbo ; T_SALDI_TITOLI_NEGOZIAZIONE
DB ; sql ; CONTROLLI_A_DISTANZA ; IN01CC2C-7\CAD99C1S,1453 ; CAD_MODELLO ; dbo ; T_TITOLO
DB ; sql ; CONTROLLI_A_DISTANZA ; IN01CC2C-7\CAD99C1S,1453 ; CAD_MODELLO ; dbo ; WL1_ANAGRAFE_DIPENDENTE
DB ; sql ; CONTROLLI_A_DISTANZA ; IN01CC2C-7\CAD99C1S,1453 ; CAD_MODELLO ; dbo ; WL1_ANAGRAFE_NDG
DB ; sql ; CONTROLLI_A_DISTANZA ; IN01CC2C-7\CAD99C1S,1453 ; CAD_MODELLO ; dbo ; WL1_ANAGRAFICA_GESTORE
DB ; sql ; CONTROLLI_A_DISTANZA ; IN01CC2C-7\CAD99C1S,1453 ; CAD_MODELLO ; dbo ; WL1_ANTB17
DB ; sql ; CONTROLLI_A_DISTANZA ; IN01CC2C-7\CAD99C1S,1453 ; CAD_MODELLO ; dbo ; WL1_ANTB21
DB ; sql ; CONTROLLI_A_DISTANZA ; IN01CC2C-7\CAD99C1S,1453 ; CAD_MODELLO ; dbo ; WL1_ANTB73
DB ; sql ; CONTROLLI_A_DISTANZA ; IN01CC2C-7\CAD99C1S,1453 ; CAD_MODELLO ; dbo ; WL1_ANTB97
DB ; sql ; CONTROLLI_A_DISTANZA ; IN01CC2C-7\CAD99C1S,1453 ; CAD_MODELLO ; dbo ; WL1_ANTICIPO_FATTURE
DB ; sql ; CONTROLLI_A_DISTANZA ; IN01CC2C-7\CAD99C1S,1453 ; CAD_MODELLO ; dbo ; WL1_ASEMESSI
DB ; sql ; CONTROLLI_A_DISTANZA ; IN01CC2C-7\CAD99C1S,1453 ; CAD_MODELLO ; dbo ; WL1_BONIFICI
DB ; sql ; CONTROLLI_A_DISTANZA ; IN01CC2C-7\CAD99C1S,1453 ; CAD_MODELLO ; dbo ; WL1_CARTINFO
DB ; sql ; CONTROLLI_A_DISTANZA ; IN01CC2C-7\CAD99C1S,1453 ; CAD_MODELLO ; dbo ; WL1_CASSETTE
DB ; sql ; CONTROLLI_A_DISTANZA ; IN01CC2C-7\CAD99C1S,1453 ; CAD_MODELLO ; dbo ; WL1_DOSSIER
DB ; sql ; CONTROLLI_A_DISTANZA ; IN01CC2C-7\CAD99C1S,1453 ; CAD_MODELLO ; dbo ; WL1_EFFETTI_CIFRA_TONDA
DB ; sql ; CONTROLLI_A_DISTANZA ; IN01CC2C-7\CAD99C1S,1453 ; CAD_MODELLO ; dbo ; WL1_ENTE_EMITTENTE
DB ; sql ; CONTROLLI_A_DISTANZA ; IN01CC2C-7\CAD99C1S,1453 ; CAD_MODELLO ; dbo ; WL1_EVENTI_TITOLI
DB ; sql ; CONTROLLI_A_DISTANZA ; IN01CC2C-7\CAD99C1S,1453 ; CAD_MODELLO ; dbo ; WL1_ICCINC
DB ; sql ; CONTROLLI_A_DISTANZA ; IN01CC2C-7\CAD99C1S,1453 ; CAD_MODELLO ; dbo ; WL1_INCAS_001
DB ; sql ; CONTROLLI_A_DISTANZA ; IN01CC2C-7\CAD99C1S,1453 ; CAD_MODELLO ; dbo ; WL1_INCAS_173
DB ; sql ; CONTROLLI_A_DISTANZA ; IN01CC2C-7\CAD99C1S,1453 ; CAD_MODELLO ; dbo ; WL1_MANDATI_GPM
DB ; sql ; CONTROLLI_A_DISTANZA ; IN01CC2C-7\CAD99C1S,1453 ; CAD_MODELLO ; dbo ; WL1_MANDATI_GPM_NEW_FILE
DB ; sql ; CONTROLLI_A_DISTANZA ; IN01CC2C-7\CAD99C1S,1453 ; CAD_MODELLO ; dbo ; WL1_MOVIMENTI_SPORTELLO
DB ; sql ; CONTROLLI_A_DISTANZA ; IN01CC2C-7\CAD99C1S,1453 ; CAD_MODELLO ; dbo ; WL1_MOVIMNTI_SPORTELLO_REDIVEN
DB ; sql ; CONTROLLI_A_DISTANZA ; IN01CC2C-7\CAD99C1S,1453 ; CAD_MODELLO ; dbo ; WL1_MOVIMENTI_TITOLI_NEGOZIAZIONE
DB ; sql ; CONTROLLI_A_DISTANZA ; IN01CC2C-7\CAD99C1S,1453 ; CAD_MODELLO ; dbo ; WL1_ORDINI_TITOLI_NEGOZIAZIONE
DB ; sql ; CONTROLLI_A_DISTANZA ; IN01CC2C-7\CAD99C1S,1453 ; CAD_MODELLO ; dbo ; WL1_PUNTEGGIO_GIANOS
DB ; sql ; CONTROLLI_A_DISTANZA ; IN01CC2C-7\CAD99C1S,1453 ; CAD_MODELLO ; dbo ; WL1_PUNTEGGIO_GIANOS_GIORNALIERO
DB ; sql ; CONTROLLI_A_DISTANZA ; IN01CC2C-7\CAD99C1S,1453 ; CAD_MODELLO ; dbo ; WL1_RAPPORTO
DB ; sql ; CONTROLLI_A_DISTANZA ; IN01CC2C-7\CAD99C1S,1453 ; CAD_MODELLO ; dbo ; WL1_SOSPESI_CONTABILITA_APERTI
DB ; sql ; CONTROLLI_A_DISTANZA ; IN01CC2C-7\CAD99C1S,1453 ; CAD_MODELLO ; dbo ; WL1_SOSPESI_CONTABILITA_PAREGGIATI
DB ; sql ; CONTROLLI_A_DISTANZA ; IN01CC2C-7\CAD99C1S,1453 ; CAD_MODELLO ; dbo ; WL1_TITOLO
DB ; ora ; FABBRICA_PRODOTTI ; in01dc2x:1531/BPM99S1O   ; BPM99S1O ; JBPM_NV ; NV_CARTELLA
DB ; ora ; FABBRICA_PRODOTTI ; in01dc2x:1531/BPM99S1O   ; BPM99S1O ; JBPM_NV ; NV_PARTECIPANTE
DB ; ora ; FABBRICA_PRODOTTI ; in01dc2x:1531/BPM99S1O   ; BPM99S1O ; JBPM_NV ; NV_PRENOTAZIONE_AMBIENTE
DB ; ora ; FABBRICA_PRODOTTI ; in01dc2x:1523/BPM99C1O   ; BPM99C1O ; JBPM_NV ; NV_CARTELLA
DB ; ora ; FABBRICA_PRODOTTI ; in01dc2x:1523/BPM99C1O   ; BPM99C1O ; JBPM_NV ; NV_PARTECIPANTE
DB ; ora ; FABBRICA_PRODOTTI ; in01dc2x:1523/BPM99C1O   ; BPM99C1O ; JBPM_NV ; NV_PRENOTAZIONE_AMBIENTE
DB ; sql ; FABBRICA_PRODOTTI ; IN01CC2C-4\CNS99S3S,1643 ; Pricing2018 ; dbo ; LOG_SIMULAZIONE
DB ; sql ; FABBRICA_PRODOTTI ; IN01CC2C-4\CNS99S3S,1643 ; Pricing2018 ; dbo ; TS_SIM_ALLEGATO
DB ; sql ; FABBRICA_PRODOTTI ; IN01CC2C-4\CNS99S3S,1643 ; Pricing2018 ; dbo ; TS_SIM_ANAGRAFE
DB ; sql ; FABBRICA_PRODOTTI ; IN01CC2C-3\CNS99C3S,1633 ; Pricing2018 ; dbo ; LOG_SIMULAZIONE
DB ; sql ; FABBRICA_PRODOTTI ; IN01CC2C-3\CNS99C3S,1633 ; Pricing2018 ; dbo ; TS_SIM_ALLEGATO
DB ; sql ; FABBRICA_PRODOTTI ; IN01CC2C-3\CNS99C3S,1633 ; Pricing2018 ; dbo ; TS_SIM_ANAGRAFE
DB ; sql ; FABBRICA_PRODOTTI ; IN01CC2C-4\CNS99S3S,1643 ; QUESTIONARIOPOG ; dbo ; LOG_SIMULAZIONE
DB ; sql ; FABBRICA_PRODOTTI ; IN01CC2C-4\CNS99S3S,1643 ; QUESTIONARIOPOG ; dbo ; TS_SIM_ALLEGATO
DB ; sql ; FABBRICA_PRODOTTI ; IN01CC2C-4\CNS99S3S,1643 ; QUESTIONARIOPOG ; dbo ; TS_SIM_ANAGRAFE
DB ; sql ; FABBRICA_PRODOTTI ; IN01CC2C-3\CNS99C3S,1633 ; QUESTIONARIOPOG ; dbo ; LOG_SIMULAZIONE
DB ; sql ; FABBRICA_PRODOTTI ; IN01CC2C-3\CNS99C3S,1633 ; QUESTIONARIOPOG ; dbo ; TS_SIM_ALLEGATO
